??????????????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
????????????,2548,,,,,,,,,,,,2549,,,,,,,,,,,,2550,,,,,,,,,,,,2551,,,,,,,,,,,,2552,,,,,,,,,,,,2553,,,,,,,,,,,,2554,,,,,,,,,,,,2555,,,,,,,,,,,,2556,,,,,,,,,,,,2557,,,,,,,,,,,,2558,,,,,,,,,,,,2559,,,,,,,,,,,,2560,,,,,,,,,,,,2561,,,,,,,,,,,,2562,,,,,,,,,,,,2563,,,,,,,,,,,,2564,,,,,,,,,,,,2565,,,,,,,,,,,,2566,,,,,,,,,,,,2567,,,,,,,,,,,,2568,,,,,,,,,,,
,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?., ?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.
???????????????,94.80,25.55,133.12,95.20,19.10,0.68,45.57,68.80,61.01,302.42,200.21,153.55,46.76,24.39,145.05,77.46,13.99,0.00,59.14,67.38,32.69,182.93,282.00,204.67,62.45,21.73,133.33,86.34,15.20,0.00,56.88,82.69,167.88,249.86,180.78,127.68,34.86,27.13,136.61,84.96,13.77,0.00,69.84,16.47,8.29,80.40,335.74,295.78,3.38,9.31,92.28,93.53,11.13,0.00,34.78,79.70,8.32,29.45,306.00,324.81,25.03,20.40,155.47,8.81,0.92,0.00,53.97,59.75,61.68,120.18,274.79,267.66,3.12,16.99,114.66,55.98,7.71,0.20,52.32,51.43,25.80,75.84,310.17,293.04,3.09,17.79,138.12,60.35,7.54,0.07,47.30,64.00,32.16,75.59,306.56,296.94,3.03,20.54,151.99,46.59,6.03,0.09,49.67,56.62,38.73,87.84,288.33,277.32,3.09,18.53,135.55,54.57,7.12,0.13,48.81,56.29,31.64,78.31,296.12,283.81,2.96,18.24,136.57,51.84,6.64,0.08,47.48,57.64,33.38,78.83,290.41,279.70,2.93,18.52,136.93,49.41,6.39,0.11,58.01,58.25,37.92,99.99,372.14,187.29,3.28,20.21,149.46,56.95,7.36,0.12,59.51,59.08,39.73,105.06,380.54,201.34,4.03,23.95,168.52,67.66,10.01,0.19,50.23,53.28,33.83,101.36,317.78,188.79,3.34,20.45,148.46,56.80,7.75,0.14,49.82,50.68,33.12,98.14,314.26,167.74,3.24,19.68,142.91,54.79,7.27,0.13,31.67,32.40,21.34,62.35,197.80,105.62,9.51,57.93,418.18,161.46,22.23,0.40,31.14,32.18,20.87,61.79,195.71,108.97,9.29,56.51,409.31,157.18,21.39,0.40,30.38,31.07,20.29,59.89,190.47,103.16,9.10,55.39,401.08,154.19,20.96,0.39,29.74,30.51,19.93,58.74,186.39,101.39,8.67,52.73,381.63,146.85,20.08,0.37,27.11,27.85,18.14,53.63,170.22,93.16,8.09,49.21,356.29,137.00,18.69,0.35,,,,,,
    1.2 ??????????????,203.47,233.44,56.13,59.11,82.85,76.66,116.97,88.52,87.76,46.54,64.42,84.13,161.68,100.80,61.10,58.08,85.32,110.69,114.03,114.27,112.52,109.56,105.69,120.89,155.17,111.17,71.77,66.66,95.95,112.70,113.67,112.31,113.51,115.81,118.15,120.37,163.05,116.52,51.26,29.53,86.83,101.63,117.83,130.38,138.82,153.87,117.41,163.70,166.79,131.47,73.47,44.92,85.96,117.08,131.49,144.02,150.17,132.36,108.94,134.95,180.00,145.53,60.43,37.69,93.01,154.57,159.78,161.14,163.83,141.13,118.81,112.30,180.30,127.00,44.95,43.52,113.76,140.55,161.00,161.94,157.07,162.52,167.02,207.85,177.40,127.01,47.61,48.18,125.66,134.17,151.93,149.62,152.02,163.48,182.98,196.02,199.47,142.63,67.11,46.71,117.31,144.27,157.54,164.99,165.61,174.29,193.23,207.23,211.84,137.96,50.45,41.88,116.13,150.16,165.13,173.14,181.72,192.29,204.67,235.06,211.91,140.44,56.77,40.82,110.22,149.22,165.07,173.55,180.21,193.94,213.37,238.25,219.84,138.35,50.70,36.63,97.62,145.09,165.31,175.24,181.45,198.38,223.25,252.08,223.93,145.68,61.47,38.00,108.84,158.18,171.59,179.67,190.07,209.63,229.52,259.20,227.76,158.13,73.49,60.08,128.61,172.05,183.23,189.42,200.41,217.85,228.58,245.25,227.19,154.37,68.73,45.28,116.22,169.38,184.24,194.11,198.56,215.18,226.57,253.60,244.69,141.45,67.35,39.41,107.73,161.20,182.84,195.40,200.45,205.06,237.15,274.50,237.56,169.13,74.52,49.02,110.54,160.28,183.90,198.75,210.66,219.55,187.72,269.20,229.81,155.39,69.24,46.77,122.07,173.09,188.61,198.75,195.93,200.93,203.19,241.69,237.11,145.80,61.02,46.96,120.28,173.21,185.93,202.78,199.00,211.21,206.12,245.20,227.11,151.31,68.77,54.53,128.79,172.11,192.03,197.51,195.67,210.48,212.49,218.22,231.90,155.77,73.35,56.19,105.73,175.12,,,,,,
 ???????,202.85,229.74,52.20,58.44,84.10,77.84,118.92,90.00,89.23,47.26,65.34,84.08,158.41,98.84,58.33,57.80,86.49,112.48,115.86,116.10,114.41,111.39,107.20,120.75,154.36,107.18,67.85,66.57,97.36,114.53,115.51,114.11,115.42,117.69,119.66,121.08,161.32,112.33,50.17,29.71,88.18,103.31,119.77,132.53,141.14,156.39,118.93,165.14,164.96,126.49,72.32,45.45,87.33,119.05,133.71,146.45,152.26,134.52,110.40,136.04,178.73,142.54,58.98,37.90,94.27,157.16,162.47,163.81,166.57,143.35,120.22,112.95,177.09,126.98,44.34,43.98,115.46,142.90,163.71,164.64,159.70,165.15,169.70,210.90,177.60,124.08,46.36,48.78,127.76,136.27,154.38,152.14,154.58,166.16,185.91,198.63,200.05,140.78,66.72,47.48,119.27,146.69,160.17,167.70,168.34,177.19,196.30,208.93,212.62,136.63,50.47,42.40,118.07,152.67,167.91,176.05,184.66,195.41,207.93,238.38,214.20,139.50,56.71,41.32,111.97,151.72,167.82,176.47,183.22,197.11,216.65,241.53,222.39,137.43,49.14,36.99,99.25,147.54,168.10,178.19,184.51,201.70,226.89,255.80,226.54,144.36,60.84,38.38,110.64,160.85,174.48,182.70,193.27,213.03,233.23,262.92,229.64,158.32,73.63,60.86,130.76,174.92,186.25,192.55,203.75,221.35,232.18,248.61,228.19,154.07,69.52,45.83,118.17,172.24,187.34,197.39,201.90,218.77,230.28,257.34,247.11,141.50,67.73,39.68,109.52,163.89,185.92,198.69,203.83,208.48,240.98,278.46,239.80,169.67,75.16,49.65,112.39,162.98,187.00,202.10,214.21,223.17,190.63,273.11,232.04,156.77,69.42,47.52,124.13,176.01,191.79,202.10,199.23,204.22,206.00,244.84,239.47,147.67,61.73,47.71,122.30,176.13,189.06,206.20,202.35,214.56,209.02,248.41,230.00,153.01,69.53,55.29,130.91,174.98,195.26,200.83,198.97,213.93,215.57,221.06,234.77,157.49,73.92,57.12,107.51,178.07,,,,,,
 ????,294.42,385.41,323.07,66.70,0.11,0.23,0.00,0.00,0.00,5.47,7.89,116.70,456.99,156.29,189.86,60.00,0.00,0.00,0.00,0.00,0.00,1.70,14.68,169.09,253.71,373.00,304.02,63.12,0.08,0.00,0.00,0.00,0.00,5.89,36.98,104.00,366.46,461.83,89.53,4.15,0.00,0.00,0.00,0.00,0.00,6.53,37.48,110.16,405.06,530.27,95.39,3.71,0.00,0.00,0.00,0.00,0.00,6.34,33.65,104.55,363.12,436.29,87.43,1.95,0.00,0.00,0.00,0.00,0.00,3.73,51.96,108.45,538.21,160.42,31.93,0.32,0.00,0.00,0.00,0.00,0.00,2.71,11.27,39.75,240.65,429.55,150.68,2.48,0.00,0.00,0.00,0.00,0.00,3.48,14.13,60.64,244.23,360.48,111.46,0.00,0.00,0.00,0.00,0.00,0.00,3.33,13.62,157.10,245.35,318.30,65.88,1.44,0.00,0.00,0.00,0.00,0.00,3.64,14.92,55.59,112.69,285.63,68.32,11.15,4.60,0.00,0.00,0.00,0.00,0.55,21.72,65.07,97.48,265.45,184.50,17.88,1.25,0.00,0.00,0.00,0.00,1.67,10.09,46.70,101.09,242.60,140.55,22.80,3.54,0.00,0.00,0.00,0.00,1.99,13.97,56.91,164.25,196.77,72.29,16.91,0.00,0.00,0.00,0.00,0.00,8.26,20.81,67.64,196.21,227.15,22.31,17.29,0.00,0.00,0.00,0.00,0.00,3.28,9.44,46.31,141.08,175.09,62.34,34.43,2.27,2.14,0.00,0.00,0.00,2.63,14.62,58.16,146.88,178.41,43.50,16.08,1.36,0.57,0.00,0.00,0.00,7.71,22.84,55.03,136.27,90.61,81.66,2.92,0.03,0.00,0.00,0.00,0.00,9.01,53.99,81.09,142.48,43.29,20.77,2.65,0.23,0.06,0.04,0.04,0.00,18.71,50.30,80.90,82.77,69.25,30.36,13.46,3.88,2.61,0.00,0.00,0.00,8.86,43.93,73.65,91.22,73.78,51.05,1.93,0.00,0.00,,,,,,
 ???????,127.40,594.06,217.50,167.12,27.32,19.60,4.34,2.17,1.99,0.00,12.84,25.67,144.83,342.65,299.63,103.81,48.48,13.70,16.39,17.60,1.30,0.09,19.77,45.96,98.95,295.64,304.75,89.41,36.60,11.97,14.31,15.26,1.39,0.09,11.71,23.50,54.98,164.78,171.71,49.26,21.07,6.50,8.07,8.41,3.56,0.09,6.16,12.92,4.42,211.87,238.32,32.96,15.00,0.26,0.35,0.00,80.48,0.00,0.00,0.00,30.70,87.50,269.02,74.06,56.02,3.56,1.13,7.89,3.56,20.81,0.00,0.00,21.07,60.19,185.16,50.91,38.51,2.43,0.78,5.38,2.43,14.31,0.00,0.00,8.33,32.78,61.49,33.91,2.95,28.71,19.77,0.00,0.00,6.42,0.00,0.00,0.61,26.88,46.14,2.78,2.69,2.51,3.73,13.10,11.45,0.09,5.55,0.00,0.26,4.51,15.44,29.23,4.60,4.94,0.78,2.08,21.59,14.14,3.21,1.04,0.17,11.45,43.88,11.27,10.41,2.08,6.42,1.73,4.86,17.34,12.23,0.00,7.98,43.02,56.72,9.80,0.95,0.17,0.26,0.52,0.61,1.56,0.61,0.00,2.34,184.64,12.40,0.00,0.00,0.00,0.00,0.00,0.00,20.55,0.00,0.00,15.44,43.80,50.39,6.91,4.08,4.74,10.90,11.25,7.65,15.76,2.94,0.00,108.87,56.81,22.17,2.40,2.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.27,63.31,7.22,0.25,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,50.39,22.20,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.78,37.46,10.23,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.08,17.17,13.88,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,11.49,11.06,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,11.49,15.70,0.00,0.00,0.00,,,,,,
    1.3 ??????????,53.37,38.18,48.60,143.94,166.07,104.25,178.42,204.73,84.96,46.91,60.64,69.92,59.36,41.01,42.43,80.51,163.79,177.95,157.37,151.43,62.55,49.93,63.51,81.59,47.90,40.81,50.79,140.83,206.66,132.02,159.52,239.42,81.43,40.25,61.32,70.28,54.41,54.10,55.79,104.20,237.54,123.66,108.99,135.67,53.66,43.25,59.66,67.82,63.51,57.24,57.22,70.53,202.83,152.67,175.67,183.90,59.00,41.00,52.14,61.96,54.65,46.77,49.64,96.04,216.73,117.73,118.33,140.46,57.18,43.40,47.10,55.43,45.50,45.92,58.60,115.43,174.43,132.79,126.17,134.67,47.10,64.74,48.81,69.83,61.21,50.85,64.25,125.66,185.32,143.78,125.63,145.19,68.32,50.73,55.90,66.14,53.34,48.39,70.68,88.98,153.89,192.28,114.85,172.80,85.12,58.71,69.65,68.01,59.49,55.94,66.70,101.78,183.27,158.51,142.32,247.90,79.64,60.31,53.62,71.81,69.96,55.26,70.09,109.13,164.16,131.48,93.55,192.33,67.37,46.93,54.64,79.15,67.75,63.56,63.18,89.42,134.20,115.42,85.76,111.44,91.18,71.48,65.98,67.83,79.84,69.97,87.29,121.73,168.55,135.99,122.18,170.26,67.31,56.11,79.34,70.66,71.81,72.13,80.73,150.43,150.15,127.31,147.71,197.74,80.44,71.53,74.72,81.67,84.79,83.42,86.75,198.16,152.47,113.57,130.18,199.82,99.12,90.67,80.57,90.73,98.65,79.15,95.70,176.03,221.82,133.50,146.64,151.93,97.75,70.80,61.99,86.07,96.91,72.29,78.15,158.42,187.45,165.36,192.72,246.71,129.25,82.12,82.83,88.49,79.88,69.37,75.66,157.12,278.90,234.54,183.24,159.22,78.38,69.36,105.32,99.72,82.73,73.41,92.46,265.48,145.97,208.79,145.56,183.10,114.62,71.14,81.04,95.72,68.45,55.67,55.52,193.99,221.90,124.99,142.19,200.63,96.49,75.05,82.87,126.98,84.35,65.67,64.79,191.10,236.85,212.89,,,,,,
 ??????,46.41,50.40,130.11,188.73,325.51,229.72,55.64,34.67,9.77,36.58,45.16,47.30,59.18,64.27,165.91,240.67,415.09,292.93,70.95,44.21,12.46,46.64,57.58,60.32,64.36,69.89,180.44,261.73,451.43,318.58,77.17,48.08,13.55,50.73,62.62,65.60,66.14,71.82,185.42,268.96,463.89,327.37,79.30,49.41,13.92,52.13,64.35,67.41,69.29,75.25,194.25,281.77,485.99,342.97,83.07,51.77,14.59,54.61,67.42,70.62,72.45,78.68,203.11,294.62,508.15,358.60,86.86,54.13,15.25,57.10,70.49,73.84,78.67,85.44,220.56,319.93,551.81,389.42,94.32,58.78,16.56,62.01,76.55,80.19,85.52,92.87,239.75,347.77,599.82,423.30,102.53,63.89,18.00,67.40,83.21,87.16,87.78,95.33,246.11,356.99,615.71,434.52,105.25,65.58,18.48,69.19,85.42,89.47,89.70,97.42,251.49,364.80,629.19,444.02,107.55,67.02,18.88,70.70,87.28,91.43,76.56,83.14,214.63,311.33,536.97,378.94,91.79,57.20,16.12,60.34,74.49,78.03,75.55,82.05,211.82,307.25,529.93,373.98,90.58,56.45,15.91,59.55,73.52,77.01,83.80,212.02,352.57,537.32,431.09,214.44,79.84,25.51,48.17,70.60,93.26,50.81,74.60,162.59,331.64,646.06,312.99,269.95,102.58,66.47,129.83,111.66,129.36,53.32,76.86,182.33,331.62,570.63,362.56,233.35,87.84,43.70,84.51,87.40,107.03,50.35,78.68,186.64,339.45,584.10,371.12,238.86,89.91,44.73,86.51,89.46,109.55,51.54,78.88,182.40,343.53,615.87,359.31,253.74,95.83,52.74,102.42,98.50,118.20,53.13,82.41,193.89,356.66,622.14,384.39,255.06,96.12,49.54,95.96,96.71,117.60,54.49,79.10,185.59,342.70,600.52,367.55,246.40,92.89,48.43,93.84,93.80,113.81,52.46,69.21,161.76,300.24,529.32,319.91,217.43,82.01,43.40,84.14,83.21,100.66,46.09,76.56,179.48,331.77,582.07,355.37,238.88,,,,,,
 ???,221.05,97.71,28.17,41.12,32.74,12.31,13.63,17.09,45.41,119.65,216.99,354.14,251.79,111.27,32.12,46.89,37.32,14.08,15.58,19.41,51.67,136.28,247.14,403.38,176.26,108.86,95.57,57.74,33.77,10.31,12.45,17.19,28.76,76.74,241.95,328.06,175.56,147.38,83.51,45.43,16.32,12.84,23.23,54.29,36.94,70.47,162.21,186.73,168.87,120.42,62.60,27.90,5.22,3.07,12.36,13.79,23.97,65.96,131.04,171.93,108.94,73.68,21.93,12.26,5.07,2.57,7.17,11.10,15.57,28.88,70.31,101.09,51.23,40.82,30.09,23.26,9.82,2.95,2.98,7.55,7.87,17.14,52.82,112.43,59.45,44.77,20.66,5.44,3.62,2.49,1.87,11.43,10.67,26.43,57.15,63.67,51.98,48.09,30.37,11.28,4.67,5.27,4.18,5.82,5.92,17.52,35.28,39.85,45.84,38.27,20.75,6.83,3.25,2.38,3.21,6.77,6.80,17.26,37.51,43.13,48.72,40.32,21.29,6.64,3.08,3.18,2.77,5.93,5.53,16.72,39.25,45.16,50.83,44.70,22.97,8.07,3.51,3.91,3.61,5.97,5.58,16.47,38.30,44.89,55.60,47.46,24.59,8.37,3.90,3.55,3.60,7.81,7.79,19.60,44.66,52.17,67.48,55.38,22.06,9.76,4.60,2.63,3.90,8.79,10.90,23.07,48.10,65.22,69.90,60.98,29.26,11.21,5.36,3.90,4.32,10.42,11.46,25.90,55.48,68.66,71.66,49.11,28.89,13.49,6.44,3.66,4.76,6.65,9.26,24.63,51.51,76.43,78.69,63.51,31.19,13.20,6.36,3.99,5.20,10.66,13.01,29.51,63.17,88.23,90.60,70.61,44.31,16.29,9.08,4.09,4.81,10.62,13.59,33.85,60.15,94.38,92.01,48.76,29.40,7.76,12.61,16.69,16.27,21.91,14.85,16.85,71.63,94.43,84.58,56.28,28.99,10.19,8.76,8.21,8.99,11.33,11.41,23.85,55.80,104.65,89.35,62.26,34.86,10.74,9.46,9.41,,,,,,
 ???????,0.00,0.16,29.64,303.49,266.24,139.79,155.81,186.79,88.95,28.15,0.47,0.50,0.00,0.00,4.29,90.07,247.52,339.55,196.44,170.38,66.85,24.40,7.04,1.79,2.19,4.13,14.23,262.94,366.20,128.09,236.26,263.77,77.59,8.51,10.26,9.66,4.44,2.46,7.22,147.47,480.93,128.75,103.76,151.00,101.84,19.20,15.72,12.93,11.32,13.61,17.35,67.05,453.65,161.16,128.90,221.31,77.35,28.20,25.88,13.95,7.32,0.09,13.03,176.56,367.67,84.93,82.74,158.57,83.11,39.64,24.21,9.32,0.00,0.30,19.90,236.85,303.42,94.25,63.42,123.56,62.15,9.34,14.05,10.35,11.56,5.92,12.70,243.21,280.04,83.97,81.09,98.13,78.17,32.33,20.66,24.31,17.84,14.06,19.20,91.31,193.95,316.00,78.50,133.39,103.58,31.07,29.49,21.09,1.26,2.50,38.58,180.95,278.79,194.66,127.38,245.43,122.02,54.61,16.62,14.35,11.96,16.94,36.34,167.26,252.40,218.31,156.28,193.46,72.81,17.38,15.81,16.22,15.53,15.30,52.70,155.09,140.23,124.83,126.58,140.28,158.97,89.26,13.81,9.90,4.13,6.20,46.07,165.70,367.90,229.76,109.47,181.17,89.21,40.96,19.42,10.79,15.90,20.47,58.79,257.58,309.45,218.52,188.41,242.57,66.89,23.26,27.40,19.35,32.59,35.77,74.57,445.17,329.10,148.84,203.89,430.46,142.60,26.80,31.33,50.11,11.87,15.08,126.14,374.34,398.68,294.76,363.87,242.60,211.95,89.42,13.14,10.67,15.38,29.52,45.95,338.26,513.12,394.99,369.30,315.83,205.20,57.56,14.60,15.76,22.94,5.18,37.25,287.16,770.44,677.93,354.75,79.93,26.89,26.40,68.58,109.53,30.42,31.62,125.27,805.96,311.15,645.17,272.41,207.33,175.61,53.32,31.07,42.27,25.98,20.02,20.44,521.33,655.21,336.15,264.16,267.92,117.58,31.50,41.65,70.65,22.50,25.70,28.97,507.67,696.77,597.70,,,,,,
 ???????,96.13,119.25,152.94,151.87,127.08,71.73,51.55,41.69,57.83,91.57,161.56,76.82,104.53,120.58,122.22,148.69,277.00,171.43,121.33,37.91,61.41,94.27,129.21,98.28,72.26,88.25,79.94,118.94,188.55,157.57,94.79,34.74,53.58,97.48,122.57,92.41,89.04,109.02,115.88,158.67,207.98,51.55,51.25,34.92,63.41,107.64,144.20,118.58,86.48,95.97,92.07,82.86,145.37,121.70,38.07,23.95,55.08,86.48,108.89,104.55,87.32,88.86,100.66,107.26,104.51,87.39,63.96,39.11,56.96,84.82,123.83,135.97,86.23,97.05,116.27,173.40,198.23,146.76,65.07,48.98,78.22,111.75,135.06,168.27,111.04,115.45,131.14,167.92,169.69,111.09,55.45,29.97,52.43,116.91,129.45,128.68,88.43,94.11,105.57,135.70,163.47,105.60,47.04,29.72,48.73,97.10,109.58,111.54,48.39,132.15,78.97,119.35,170.08,101.18,38.00,20.13,16.61,46.34,146.43,135.91,71.93,99.42,89.89,118.28,147.97,91.49,38.22,22.87,33.71,74.14,109.35,105.94,67.56,91.21,116.54,120.43,152.53,126.89,49.08,33.25,48.13,85.56,125.95,89.63,76.27,131.43,131.43,135.40,165.60,133.99,83.95,48.89,61.94,87.92,140.13,82.80,74.67,112.07,124.58,135.49,224.92,188.94,88.24,39.49,57.27,92.50,90.33,63.61,77.55,102.53,103.83,84.47,125.70,177.47,86.28,47.85,22.77,90.59,43.94,40.23,67.07,92.65,92.07,88.95,120.05,98.85,66.63,40.77,44.87,72.02,90.21,49.73,61.87,74.10,84.99,89.20,127.58,139.21,63.48,36.41,45.64,71.21,104.64,63.87,61.03,69.01,72.38,91.82,137.89,119.24,69.73,36.97,48.72,75.08,97.51,62.80,51.89,53.45,59.31,72.83,107.06,104.72,46.30,21.79,27.56,40.61,53.04,48.16,43.14,48.04,49.53,61.36,75.41,67.66,43.87,22.75,23.27,43.86,57.30,54.96,46.56,47.25,50.48,63.80,84.58,87.71,,,,,,
 ???? ,23.04,20.88,21.36,22.20,9.72,19.20,456.12,556.20,24.72,6.96,19.92,19.68,18.85,16.77,18.88,23.43,10.65,16.60,259.56,359.49,18.78,8.74,21.29,22.09,12.43,12.82,9.56,12.04,7.75,28.95,180.14,500.10,39.64,7.71,12.53,12.21,45.08,53.26,37.74,38.59,20.82,30.54,207.75,339.23,20.72,24.56,39.53,78.77,88.19,81.97,51.61,28.28,19.78,29.39,415.89,367.21,25.92,23.08,37.99,69.52,91.25,85.19,48.11,35.11,15.49,30.71,295.40,300.12,10.04,24.66,44.09,70.84,95.74,94.47,57.28,42.59,21.21,18.11,245.31,432.70,69.96,190.33,73.01,119.66,140.98,98.50,84.62,51.70,23.44,56.39,371.12,420.17,30.50,75.81,92.50,130.54,103.62,82.78,115.57,34.14,9.38,16.70,257.99,520.66,60.77,88.32,158.80,162.31,175.48,101.53,87.92,40.55,18.30,5.35,302.53,721.69,93.59,123.27,76.16,176.80,223.75,130.26,111.14,46.16,28.24,9.96,126.90,570.83,55.59,70.75,117.92,247.78,208.77,176.54,65.34,33.07,15.45,10.67,165.54,283.04,87.04,59.03,169.43,206.21,270.15,118.91,105.34,51.12,27.93,25.06,215.96,528.85,112.48,120.83,214.57,232.14,210.09,142.56,73.40,47.27,30.02,22.40,236.08,579.03,116.66,172.01,188.94,281.92,254.76,170.01,81.49,34.13,25.67,25.19,154.17,319.29,112.94,246.89,246.80,310.88,351.12,189.31,89.08,54.40,37.26,52.61,212.03,352.91,88.88,111.20,139.69,314.25,337.82,143.48,84.57,26.50,23.52,52.79,295.83,693.58,255.99,199.89,224.16,302.36,234.24,146.04,71.59,35.67,15.43,83.86,389.18,653.89,253.54,183.00,294.17,260.13,245.25,169.06,86.06,51.34,20.11,37.08,286.85,589.71,199.69,155.33,225.99,317.55,180.17,94.56,40.66,24.84,14.96,10.79,315.29,617.69,192.89,214.74,243.86,442.69,270.06,133.28,57.31,28.48,18.54,32.38,,,,,,
